polynomial,term_0,term_1,term_2,term_3,term_4,term_5,term_6,gcd,zero_terms,galois_group,discriminant
x^5 - 3*x^4 + 11*x^3 + x^2 - 3*x + 1,-37/2,-57,231,-66,96,-87,13/2,1/2,0,A5,12673600
x^5 - 3*x^4 + 12*x^3 - 4*x^2 + 13*x + 1,-21,-24,3,152,-165,-168,179,1,0,A5,293094400
x^5 - 3*x^4 + 13*x^3 - 10*x^2 + 17*x + 1,-47/2,33/2,-93/2,72,-273/2,-705/2,314,1/2,0,A5,274598041
x^5 - 3*x^4 + 16*x^3 - 24*x^2 + 17*x + 1,-31,108,21,-436,501,-732,349,1,0,A5,843321600
x^5 - 3*x^4 + 16*x^3 - 4*x^2 - 3*x + 1,-31,-42,411,-216,141,-102,19,1,0,A5,10758400
x^5 - 3*x^4 + 17*x^3 - 5*x^2 - 3*x + 1,-67/2,-39,456,-258,159,-105,43/2,1/2,0,A5,2190400
x^5 - 3*x^4 + 22*x^3 - 14*x^2 + 9*x + 1,-46,6,528,-452,42,-354,116,2,0,A5,2230861824
x^5 - 2*x^4 - 23*x^3 + x^2 + 8*x + 1,123/2,123/2,1353/2,41,615/2,369/2,123/2,41/2,0,A5,1367668324
x^5 - 2*x^4 - 23*x^3 + 19*x^2 + 10*x + 1,123/2,-147/2,1401/2,-759,1833/2,915/2,105/2,3/2,0,A5,414448164
x^5 - 2*x^4 - 21*x^3 - 11*x^2 + 6*x + 1,113/2,291/2,1077/2,521,801/2,117/2,127/2,1/2,0,A5,902041156
x^5 - 2*x^4 - 19*x^3 - 5*x^2 + 6*x + 1,103/2,189/2,873/2,249,477/2,195/2,97/2,1/2,0,A5,382046116
x^5 - 2*x^4 - 12*x^3 + x^2 + 14*x + 1,34,57/2,9,147,567/2,111,387/2,1/2,0,A5,229552801
x^5 - 2*x^4 - 10*x^3 + 9*x^2 + 9*x + 1,29,-75/2,42,-79,573/2,393/2,117/2,1/2,0,A5,49084036
x^5 - 2*x^4 - 5*x^3 + 13*x^2 + 4*x + 1,33/2,-165/2,33/2,-99,627/2,231/2,-33/2,33/2,0,A5,18974736
x^5 - 2*x^4 - 3*x^3 + 9*x^2 - 4*x + 1,23/2,-117/2,201/2,-135,267/2,-63/2,-13/2,1/2,0,A5,195364
