polynomial,term_0,term_1,term_2,term_3,term_4,term_5,term_6,gcd,zero_terms,galois_group,discriminant
x^5 + 8*x^4 - x^3 + 8*x^2 + 6*x + 1,16,159/2,-15,-377,-369/2,-72,133/2,1/2,0,D(5),2122849
x^5 + 8*x^4 + 11*x^3 + 6*x^2 - 6*x + 1,21,-273/2,33,443,399/2,87,73/2,1/2,0,D(5),7112889
x^5 + 8*x^4 + 15*x^3 + 12*x^2 + 4*x + 1,-14,-81/2,6,111,267/2,90,53/2,1/2,0,D(5),229441
x^5 + 8*x^4 + 19*x^3 + 10*x^2 + 4*x + 1,-9,-165/2,-84,131,723/2,153,33/2,1/2,0,D(5),797449
x^5 + 8*x^4 + 20*x^3 + 19*x^2 + 6*x + 1,-23/2,21,483/2,399,282,195/2,14,1/2,0,D(5),2209
x^5 + 8*x^4 + 23*x^3 + 21*x^2 - 7*x + 1,-7/2,-393,783,1333,1293/2,237/2,13/2,1/2,0,D(5),3713329
x^5 + 8*x^4 + 24*x^3 + 9*x^2 + 2*x + 1,-37/2,-153,-141/2,295,726,441/2,4,1/2,0,D(5),76790169
x^5 + 9*x^4 - 19*x^3 + 11*x^2 - 2*x + 1,-47/2,219/2,-21/2,-317,423,-339,257/2,1/2,0,D(5),29669809
x^5 + 9*x^4 + 8*x^3 + 7*x^2 + 3*x + 1,-17/2,-57/2,-195/2,-102,-87/2,111/2,61,1/2,0,D(5),511225
x^5 + 9*x^4 + 9*x^3 + 9*x^2 + 5*x + 1,5/2,0,-81,-178,-75,54,117/2,1/2,1,D(5),824464
x^5 + 9*x^4 + 14*x^3 + 5*x^2 - 3*x + 1,-7/2,-255/2,-69/2,304,543/2,303/2,46,1/2,0,D(5),18429849
x^5 + 9*x^4 + 17*x^3 + 13*x^2 + 4*x + 1,-33/2,-99/2,33/2,165,198,132,77/2,11/2,0,D(5),717409
x^5 + 9*x^4 + 23*x^3 - 4*x^2 - 3*x + 1,19,-309/2,-15/2,-20,1785/2,681/2,47/2,1/2,0,D(5),66928761
