polynomial,term_0,term_1,term_2,term_3,term_4,term_5,term_6,gcd,zero_terms,galois_group,discriminant
x^5 - 13*x^3 - 13*x^2 + 8*x + 1,65/2,195/2,267/2,313,819/2,-117/2,193/2,1/2,0,D(5),76457536
x^5 - 11*x^3 + 11*x^2 + 6*x + 1,55/2,-165/2,183/2,-267,561/2,363/2,17/2,1/2,0,D(5),1098304
x^5 - 11*x^3 + 18*x^2 + 4*x + 1,55/2,-135,243/2,-421,552,381/2,-29,1/2,0,D(5),167055625
x^5 - 8*x^3 + 25*x^2 + 6*x + 1,20,-375/2,6,-425,2019/2,285,-53/2,1/2,0,D(5),935809281
x^5 - 3*x^3 - 4*x^2 + 8*x + 1,15/2,30,-213/2,-1,60,-51/2,74,1,0,D(5),1734489
x^5 - x^3 + 2*x^2 - 2*x + 1,5/2,-15,63/2,-29,3,3/2,-1,1,0,D(5),2209
x^5 - x^3 + 4*x^2 + 4*x + 1,5/2,-30,-117/2,-33,30,63/2,6,1/2,0,D(5),16129
x^5 - 3*x^2 + 2*x + 1,0,45/2,-30,-25,27/2,-9,23/2,1/2,1,D(5),55225
x^5 + 5*x^2 - 4*x + 1,0,-75/2,60,-25,75/2,-30,7/2,1/2,1,D(5),95481
x^5 + 4*x^3 - 5*x^2 + 18*x + 1,-10,75/2,-246,-65,-141/2,-165,673/2,1/2,0,D(5),411156729
x^5 + 4*x^3 + 9*x^2 + 10*x + 1,-10,-135/2,-126,47,123/2,105,155/2,1/2,0,D(5),19936225
x^5 + 5*x^3 + 5*x^2 + 15*x + 1,-25/2,-75/2,-375/2,25,-75,75,425/2,25/2,0,D(5),102515625
x^5 + 7*x^3 - 16*x^2 + 12*x + 1,-35/2,120,-213/2,-249,258,-681/2,184,1/2,0,D(5),253605625
x^5 + 7*x^3 + 5*x^2 + 5*x + 1,-35/2,-75/2,-3/2,45,-15,-15,25/2,1/2,0,D(5),1713481
x^5 + 13*x^3 + 3*x^2 + x + 1,-65/2,-45/2,477/2,53,-6,-93,-13/2,1/2,0,D(5),34515625
x^5 + 16*x^3 - 7*x^2 + 2*x + 1,-40,105/2,354,-249,51/2,-141,43/2,1/2,0,D(5),167055625
x^5 + x^4 - 25*x^3 - 24*x^2 + 3*x + 1,127/2,285/2,1857/2,1154,1923/2,159/2,69,1/2,0,D(5),4419723361
x^5 + x^4 - 25*x^3 - 7*x^2 + 10*x + 1,127/2,15,798,255,867/2,165/2,235/2,1/2,0,D(5),6890162049
