polynomial,polynomial_reconstructed,factors,term_0,term_1,term_2,term_3,term_4,gcd,zero_terms,galois_group,discriminant
x^5 + x^4 + 3*x^3 + 4*x^2 + 3*x + 1,(1)*x^4 + (61)*x^3 + (91)*x^2 + (59)*x^1 + (18),x^4 + 61*x^3 + 91*x^2 + 59*x + 18,1,61,91,59,18,1,0,D(5),2209
x^5 + x^4 + 3*x^3 + 13*x^2 + 1,(100)*x^4 + (397)*x^3 + (1363)*x^2 + (-16)*x^1 + (54),(100) * (x^4 + 397/100*x^3 + 1363/100*x^2 - 4/25*x + 27/50),100,397,1363,-16,54,1,0,D(5),34515625
x^5 + x^4 + 4*x^3 + 3*x^2 + 7*x + 1,(-42)*x^4 + (7)*x^3 + (42)*x^2 + (63)*x^1 + (49),(-42) * (x^4 - 1/6*x^3 - x^2 - 3/2*x - 7/6),-42,7,42,63,49,7,0,D(5),693889
x^5 + x^4 + 4*x^3 + 5*x^2 + 3*x + 1,(30)*x^4 + (129)*x^3 + (144)*x^2 + (69)*x^1 + (19),(30) * (x^4 + 43/10*x^3 + 24/5*x^2 + 23/10*x + 19/30),30,129,144,69,19,1,0,D(5),10609
x^5 + x^4 + 5*x^3 + 5*x^2 + 6*x + 1,(16)*x^4 + (133)*x^3 + (139)*x^2 + (130)*x^1 + (42),(16) * (x^4 + 133/16*x^3 + 139/16*x^2 + 65/8*x + 21/8),16,133,139,130,42,1,0,D(5),267289
x^5 + x^4 + 5*x^3 + 6*x^2 + 3*x + 1,(67)*x^4 + (213)*x^3 + (207)*x^2 + (79)*x^1 + (20),(67) * (x^4 + 213/67*x^3 + 207/67*x^2 + 79/67*x + 20/67),67,213,207,79,20,1,0,D(5),57121
x^5 + x^4 + 6*x^3 + 7*x^2 + 3*x + 1,(112)*x^4 + (313)*x^3 + (280)*x^2 + (89)*x^1 + (21),(112) * (x^4 + 313/112*x^3 + 5/2*x^2 + 89/112*x + 3/16),112,313,280,89,21,1,0,D(5),229441
x^5 + x^4 + 7*x^3 + 8*x^2 + 3*x + 1,(165)*x^4 + (429)*x^3 + (363)*x^2 + (99)*x^1 + (22),(165) * (x^4 + 13/5*x^3 + 11/5*x^2 + 3/5*x + 2/15),165,429,363,99,22,11,0,D(5),717409
x^5 + x^4 + 7*x^3 + 10*x^2 + 5*x + 1,(147)*x^4 + (581)*x^3 + (645)*x^2 + (279)*x^1 + (48),(147) * (x^4 + 83/21*x^3 + 215/49*x^2 + 93/49*x + 16/49),147,581,645,279,48,1,0,D(5),55225
x^5 + x^4 + 7*x^3 + 15*x^2 + 7*x + 1,(147)*x^4 + (982)*x^3 + (1647)*x^2 + (720)*x^1 + (97),(147) * (x^4 + 982/147*x^3 + 549/49*x^2 + 240/49*x + 97/147),147,982,1647,720,97,1,0,D(5),824464
x^5 + x^4 + 8*x^3 + 9*x^2 + 3*x + 1,(226)*x^4 + (561)*x^3 + (456)*x^2 + (109)*x^1 + (23),(226) * (x^4 + 561/226*x^3 + 228/113*x^2 + 109/226*x + 23/226),226,561,456,109,23,1,0,D(5),1868689
x^5 + x^4 + 9*x^3 + 19*x + 1,(-5)*x^4 + (-473)*x^3 + (137)*x^2 + (-711)*x^1 + (326),(-5) * (x^4 + 473/5*x^3 - 137/5*x^2 + 711/5*x - 326/5),-5,-473,137,-711,326,1,0,D(5),165765625
x^5 + x^4 + 9*x^3 + 10*x^2 + 3*x + 1,(295)*x^4 + (709)*x^3 + (559)*x^2 + (119)*x^1 + (24),(295) * (x^4 + 709/295*x^3 + 559/295*x^2 + 119/295*x + 24/295),295,709,559,119,24,1,0,D(5),4255969
x^5 + x^4 + 10*x^3 + 11*x^2 + 3*x + 1,(372)*x^4 + (873)*x^3 + (672)*x^2 + (129)*x^1 + (25),(372) * (x^4 + 291/124*x^3 + 56/31*x^2 + 43/124*x + 25/372),372,873,672,129,25,1,0,D(5),8755681
