polynomial,polynomial_reconstructed,factors,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^4 - 8*x^3 - 9*x^2 + 19*x + 1,(648)*x^3 + (1188)*x^2 + (-1836)*x^1 + (297),(648) * (x^3 + 11/6*x^2 - 17/6*x + 11/24),648,1188,-1836,297,27,0,A4,24413481
x^4 - 8*x^3 + 11*x^2 + 9*x + 1,(88)*x^3 + (-92)*x^2 + (-116)*x^1 + (17),(88) * (x^3 - 23/22*x^2 - 29/22*x + 17/88),88,-92,-116,17,1,0,A4,121801
x^4 - 8*x^3 + 18*x^2 + 1,(-64)*x^3 + (128)*x^2 + (64)*x^1 + (-64),(-64) * (x^3 - 2*x^2 - x + 1),-64,128,64,-64,64,0,A4,200704
x^4 - 7*x^3 + 5*x^2 + 6*x + 1,(155)*x^3 + (-77)*x^2 + (-118)*x^1 + (-13),(155) * (x^3 - 77/155*x^2 - 118/155*x - 13/155),155,-77,-118,-13,1,0,A4,26569
x^4 - 7*x^3 + 11*x^2 + 6*x + 1,(-13)*x^3 + (13)*x^2 + (26)*x^1 + (-13),(-13) * (x^3 - x^2 - 2*x + 1),-13,13,26,-13,13,0,A4,8281
x^4 - 6*x^3 - 19*x^2 + 3*x + 1,(648)*x^3 + (2148)*x^2 + (-288)*x^1 + (-27),(648) * (x^3 + 179/54*x^2 - 4/9*x - 1/24),648,2148,-288,-27,3,0,A4,4052169
x^4 - 6*x^3 - 13*x^2 + 2*x + 1,(512)*x^3 + (1152)*x^2 + (-128)*x^1 + (-32),(512) * (x^3 + 9/4*x^2 - 1/4*x - 1/16),512,1152,-128,-32,32,0,A4,984064
x^4 - 6*x^3 + 5*x^2 + 7*x + 1,(40)*x^3 + (-12)*x^2 + (-64)*x^1 + (13),(40) * (x^3 - 3/10*x^2 - 8/5*x + 13/40),40,-12,-64,13,1,0,A4,26569
x^4 - 6*x^3 + 5*x^2 + 10*x + 1,(16)*x^3 + (24)*x^2 + (-112)*x^1 + (64),(16) * (x^3 + 3/2*x^2 - 7*x + 4),16,24,-112,64,8,0,A4,61504
x^4 - 6*x^3 + 11*x^2 + 7*x + 1,(-104)*x^3 + (156)*x^2 + (104)*x^1 + (13),(-104) * (x^3 - 3/2*x^2 - x - 1/8),-104,156,104,13,13,0,A4,8281
x^4 - 6*x^3 + 18*x^2 + 2*x + 1,(-232)*x^3 + (656)*x^2 + (120)*x^1 + (-32),(-232) * (x^3 - 82/29*x^2 - 15/29*x + 4/29),-232,656,120,-32,8,0,A4,984064
x^4 - 4*x^3 - 4*x^2 + 12*x + 1,(32)*x^3 + (208)*x^2 + (-352)*x^1 + (128),(32) * (x^3 + 13/2*x^2 - 11*x + 4),32,208,-352,128,16,0,A4,473344
x^4 - 4*x^3 + 9*x^2 - 3*x + 1,(-56)*x^3 + (140)*x^2 + (-28)*x^1 + (-7),(-56) * (x^3 - 5/2*x^2 + 1/2*x + 1/8),-56,140,-28,-7,7,0,A4,17689
x^4 - 3*x^3 - 25*x^2 + 24*x + 1,(135)*x^3 + (2853)*x^2 + (-2592)*x^1 + (567),(135) * (x^3 + 317/15*x^2 - 96/5*x + 21/5),135,2853,-2592,567,9,0,A4,58936329
x^4 - 3*x^3 - 22*x^2 - 21*x + 1,(459)*x^3 + (1992)*x^2 + (2061)*x^1 + (432),(459) * (x^3 + 664/153*x^2 + 229/51*x + 16/17),459,1992,2061,432,3,0,A4,3392964
x^4 - 3*x^3 - 19*x^2 + 6*x + 1,(207)*x^3 + (1635)*x^2 + (-486)*x^1 + (27),(207) * (x^3 + 545/69*x^2 - 54/23*x + 3/23),207,1635,-486,27,3,0,A4,4052169
x^4 - 3*x^3 - 16*x^2 + x + 1,(211)*x^3 + (1158)*x^2 + (-49)*x^1 + (-8),(211) * (x^3 + 1158/211*x^2 - 49/211*x - 8/211),211,1158,-49,-8,1,0,A4,1227664
x^4 - 3*x^3 - 10*x^2 + 15*x + 1,(27)*x^3 + (564)*x^2 + (-711)*x^1 + (216),(27) * (x^3 + 188/9*x^2 - 79/3*x + 8),27,564,-711,216,3,0,A4,2196324
